trial,payload,size,task_size,workers,time
1,1,10000,-1,1,0.00117106
1,1,10000,-1,3,0.00149724
1,1,10000,-1,7,0.00160755
1,1,10000,-1,15,0.00224479
1,1,10000,-1,31,0.00434193
1,1,10000,128,1,0.00133867
1,1,10000,128,3,0.00102506
1,1,10000,128,7,0.00108819
1,1,10000,128,15,0.00286597
1,1,10000,128,31,0.00567808
1,1,10000,10000,1,0.00127619
1,1,10000,10000,3,0.0015413
1,1,10000,10000,7,0.00150821
1,1,10000,10000,15,0.00204978
1,1,10000,10000,31,0.00506137
1,1,100000,-1,1,0.0119842
1,1,100000,-1,3,0.00732351
1,1,100000,-1,7,0.00527897
1,1,100000,-1,15,0.0054148
1,1,100000,-1,31,0.00600622
1,1,100000,128,1,0.0129506
1,1,100000,128,3,0.00619041
1,1,100000,128,7,0.00515443
1,1,100000,128,15,0.00565849
1,1,100000,128,31,0.00848407
1,1,100000,10000,1,0.0115133
1,1,100000,10000,3,0.00665192
1,1,100000,10000,7,0.0047412
1,1,100000,10000,15,0.00515574
1,1,100000,10000,31,0.00700821
1,1,100000,25000,1,0.0120366
1,1,100000,25000,3,0.00731935
1,1,100000,25000,7,0.00579651
1,1,100000,25000,15,0.00520507
1,1,100000,25000,31,0.00692144
1,1,100000,100000,1,0.0113097
1,1,100000,100000,3,0.011905
1,1,100000,100000,7,0.0114592
1,1,100000,100000,15,0.0117055
1,1,100000,100000,31,0.0144843
1,1,1000000,-1,1,0.134965
1,1,1000000,-1,3,0.0755089
1,1,1000000,-1,7,0.0490545
1,1,1000000,-1,15,0.0500472
1,1,1000000,-1,31,0.0586336
1,1,1000000,128,1,0.151508
1,1,1000000,128,3,0.0659445
1,1,1000000,128,7,0.0457086
1,1,1000000,128,15,0.0390693
1,1,1000000,128,31,0.0446851
1,1,1000000,10000,1,0.138736
1,1,1000000,10000,3,0.0621418
1,1,1000000,10000,7,0.0436757
1,1,1000000,10000,15,0.0364376
1,1,1000000,10000,31,0.0422025
1,1,1000000,25000,1,0.139197
1,1,1000000,25000,3,0.0640984
1,1,1000000,25000,7,0.0444198
1,1,1000000,25000,15,0.0383219
1,1,1000000,25000,31,0.0431518
1,1,1000000,100000,1,0.136275
1,1,1000000,100000,3,0.06708
1,1,1000000,100000,7,0.0468414
1,1,1000000,100000,15,0.0364805
1,1,1000000,100000,31,0.0431143
1,1,10000000,-1,1,1.61829
1,1,10000000,-1,3,0.873654
1,1,10000000,-1,7,0.528861
1,1,10000000,-1,15,0.523985
1,1,10000000,-1,31,0.604725
1,1,10000000,128,1,1.91329
1,1,10000000,128,3,0.794762
1,1,10000000,128,7,0.500397
1,1,10000000,128,15,0.42639
1,1,10000000,128,31,0.465371
1,1,10000000,10000,1,1.72059
1,1,10000000,10000,3,0.704002
1,1,10000000,10000,7,0.434603
1,1,10000000,10000,15,0.340937
1,1,10000000,10000,31,0.34341
1,1,10000000,25000,1,1.71789
1,1,10000000,25000,3,0.692264
1,1,10000000,25000,7,0.433344
1,1,10000000,25000,15,0.343847
1,1,10000000,25000,31,0.350468
1,1,10000000,100000,1,1.66457
1,1,10000000,100000,3,0.679612
1,1,10000000,100000,7,0.429695
1,1,10000000,100000,15,0.335169
1,1,10000000,100000,31,0.357794
1,1,50000000,-1,1,8.87752
1,1,50000000,-1,3,4.74647
1,1,50000000,-1,7,2.83636
1,1,50000000,-1,15,2.81529
1,1,50000000,-1,31,3.26562
1,1,50000000,128,1,10.6443
1,1,50000000,128,3,4.33143
1,1,50000000,128,7,2.70761
1,1,50000000,128,15,2.06793
1,1,50000000,128,31,2.19132
1,1,50000000,10000,1,9.80479
1,1,50000000,10000,3,4.01997
1,1,50000000,10000,7,2.44499
1,1,50000000,10000,15,1.80637
1,1,50000000,10000,31,1.79582
1,1,50000000,25000,1,9.8847
1,1,50000000,25000,3,3.96143
1,1,50000000,25000,7,2.34419
1,1,50000000,25000,15,1.68771
1,1,50000000,25000,31,1.63596
1,1,50000000,100000,1,9.7082
1,1,50000000,100000,3,3.86721
1,1,50000000,100000,7,2.30645
1,1,50000000,100000,15,1.64438
1,1,50000000,100000,31,1.67002
1,1,100000000,-1,1,18.906
1,1,100000000,-1,3,10.0885
1,1,100000000,-1,7,5.96296
1,1,100000000,-1,15,5.91587
1,1,100000000,-1,31,6.83838
1,1,100000000,128,1,22.2539
1,1,100000000,128,3,9.04003
1,1,100000000,128,7,5.49379
1,1,100000000,128,15,4.20288
1,1,100000000,128,31,4.50076
1,1,100000000,10000,1,20.697
1,1,100000000,10000,3,8.38446
1,1,100000000,10000,7,5.0676
1,1,100000000,10000,15,3.68823
1,1,100000000,10000,31,3.70325
1,1,100000000,25000,1,20.8392
1,1,100000000,25000,3,8.30492
1,1,100000000,25000,7,4.86075
1,1,100000000,25000,15,3.47174
1,1,100000000,25000,31,3.35637
1,1,100000000,100000,1,20.4527
1,1,100000000,100000,3,8.08019
1,1,100000000,100000,7,4.73917
1,1,100000000,100000,15,3.41712
1,1,100000000,100000,31,0.0
1,64,10000,-1,1,0.00127387
1,64,10000,-1,3,0.00101141
1,64,10000,-1,7,0.0017281
1,64,10000,-1,15,0.00293711
1,64,10000,-1,31,0.00447586
1,64,10000,128,1,0.00135592
1,64,10000,128,3,0.00111502
1,64,10000,128,7,0.00175936
1,64,10000,128,15,0.0025874
1,64,10000,128,31,0.00606462
1,64,10000,10000,1,0.00127497
1,64,10000,10000,3,0.00137092
1,64,10000,10000,7,0.00155546
1,64,10000,10000,15,0.00272917
1,64,10000,10000,31,0.00413658
1,64,100000,-1,1,0.0120681
1,64,100000,-1,3,0.00707115
1,64,100000,-1,7,0.00525342
1,64,100000,-1,15,0.00529814
1,64,100000,-1,31,0.00608082
1,64,100000,128,1,0.0128838
1,64,100000,128,3,0.00661861
1,64,100000,128,7,0.00499358
1,64,100000,128,15,0.00582597
1,64,100000,128,31,0.00859701
1,64,100000,10000,1,0.0115766
1,64,100000,10000,3,0.00665672
1,64,100000,10000,7,0.00490501
1,64,100000,10000,15,0.00570916
1,64,100000,10000,31,0.00669125
1,64,100000,25000,1,0.0120154
1,64,100000,25000,3,0.00701381
1,64,100000,25000,7,0.00574929
1,64,100000,25000,15,0.00586428
1,64,100000,25000,31,0.0065175
1,64,100000,100000,1,0.0112474
1,64,100000,100000,3,0.0112767
1,64,100000,100000,7,0.0114368
1,64,100000,100000,15,0.0118332
1,64,100000,100000,31,0.0146729
1,64,1000000,-1,1,0.135863
1,64,1000000,-1,3,0.0762398
1,64,1000000,-1,7,0.0506025
1,64,1000000,-1,15,0.0512049
1,64,1000000,-1,31,0.0592009
1,64,1000000,128,1,0.154582
1,64,1000000,128,3,0.066759
1,64,1000000,128,7,0.0469276
1,64,1000000,128,15,0.0406372
1,64,1000000,128,31,0.0457063
1,64,1000000,10000,1,0.137956
1,64,1000000,10000,3,0.0605964
1,64,1000000,10000,7,0.0442529
1,64,1000000,10000,15,0.0372907
1,64,1000000,10000,31,0.0410896
1,64,1000000,25000,1,0.140757
1,64,1000000,25000,3,0.0656175
1,64,1000000,25000,7,0.04351
1,64,1000000,25000,15,0.0394509
1,64,1000000,25000,31,0.0429821
1,64,1000000,100000,1,0.135945
1,64,1000000,100000,3,0.0678685
1,64,1000000,100000,7,0.047279
1,64,1000000,100000,15,0.0382576
1,64,1000000,100000,31,0.0435771
1,64,10000000,-1,1,1.66145
1,64,10000000,-1,3,0.894957
1,64,10000000,-1,7,0.545029
1,64,10000000,-1,15,0.544083
1,64,10000000,-1,31,0.622782
1,64,10000000,128,1,1.91104
1,64,10000000,128,3,0.818767
1,64,10000000,128,7,0.526713
1,64,10000000,128,15,0.414671
1,64,10000000,128,31,0.457731
1,64,10000000,10000,1,1.74334
1,64,10000000,10000,3,0.726003
1,64,10000000,10000,7,0.447925
1,64,10000000,10000,15,0.330826
1,64,10000000,10000,31,0.334906
1,64,10000000,25000,1,1.74174
1,64,10000000,25000,3,0.710124
1,64,10000000,25000,7,0.443276
1,64,10000000,25000,15,0.344791
1,64,10000000,25000,31,0.344313
1,64,10000000,100000,1,1.6976
1,64,10000000,100000,3,0.691287
1,64,10000000,100000,7,0.438976
1,64,10000000,100000,15,0.337073
1,64,10000000,100000,31,0.355526
1,64,50000000,-1,1,9.03443
1,64,50000000,-1,3,4.83155
1,64,50000000,-1,7,2.8883
1,64,50000000,-1,15,2.87687
1,64,50000000,-1,31,3.33681
